title,description,quantity,price,subcategory,style,color,material,size
Canvas Tote,Daily carry with interior pocket,12,0.01,bags,Canvas Tote,Natural,Canvas,Medium
Canvas Tote,Daily carry with interior pocket,8,0.01,bags,Canvas Tote,Black,Canvas,Medium
Leather Crossbody,Compact crossbody with adjustable strap,6,0.02,bags,Leather Crossbody,Brown,Leather,Small
Leather Crossbody,Compact crossbody with adjustable strap,6,0.02,bags,Leather Crossbody,Black,Leather,Small
Weekender Duffel,Carry-on weekender,4,0.03,bags,Weekender Duffel,Navy,Nylon,Large
Cardholder,Slim four-slot cardholder,20,0.01,belts_slg,Cardholder,Black,,OS
Leather Belt,30mm dress belt,8,0.01,belts_slg,Leather Belt,Black,,34"
Leather Belt,30mm dress belt,8,0.01,belts_slg,Leather Belt,Black,,36"
Silk Scarf,90x90cm printed silk,10,0.01,soft_accessories,Silk Scarf,Red,,OS
Cashmere Gloves,Touchscreen-friendly knit gloves,8,0.02,soft_accessories,Cashmere Gloves,Gray,,M
