title,description,quantity,price,subcategory,style,color,size,fit,waist,inseam,length,width,band,cup,material,finish,metal,frameColor,lensColor,pattern
Oxford Shirt,White cotton oxford slim fit,8,0.01,tops,Oxford Shirt,White,S,Slim,,,Regular,,,,Cotton,,,,,
Oxford Shirt,White cotton oxford slim fit,8,0.01,tops,Oxford Shirt,White,M,Slim,,,Regular,,,,Cotton,,,,,
Oxford Shirt,White cotton oxford slim fit,8,0.01,tops,Oxford Shirt,White,L,Slim,,,Regular,,,,Cotton,,,,,
Oxford Shirt,Navy cotton oxford regular fit,6,0.01,tops,Oxford Shirt,Navy,M,Regular,,,Regular,,,,Cotton,,,,,
Oxford Shirt,Navy cotton oxford regular fit,6,0.01,tops,Oxford Shirt,Navy,L,Regular,,,Tall,,,,Cotton,,,,,
Merino Crew,Charcoal fine-knit sweater,10,0.01,tops,Merino Crew,Gray,S,Regular,,,Regular,,,,Merino,,,,,
Merino Crew,Charcoal fine-knit sweater,10,0.01,tops,Merino Crew,Gray,M,Regular,,,Regular,,,,Merino,,,,,
Merino Crew,Charcoal fine-knit sweater,8,0.01,tops,Merino Crew,Gray,L,Regular,,,Tall,,,,Merino,,,,,
Linen Tee,Relaxed summer tee,12,0.01,tops,Linen Tee,Natural,S,Relaxed,,,Regular,,,,Linen,,,,,
Linen Tee,Relaxed summer tee,12,0.01,tops,Linen Tee,Natural,M,Relaxed,,,Regular,,,,Linen,,,,,
Linen Tee,Relaxed summer tee,12,0.01,tops,Linen Tee,Natural,L,Relaxed,,,Regular,,,,Linen,,,,,
Wool Coat,Navy single-breasted overcoat,4,0.02,tops,Wool Coat,Navy,M,Regular,,,Regular,,,,Wool,,,,,
Wool Coat,Navy single-breasted overcoat,3,0.02,tops,Wool Coat,Navy,L,Regular,,,Tall,,,,Wool,,,,,
Selvedge Jeans,Indigo denim mid rise waist x inseam,4,0.01,bottoms,Selvedge Jeans,Indigo,,Slim,28,30,,,,,Denim,,,,,
Selvedge Jeans,Indigo denim mid rise waist x inseam,6,0.01,bottoms,Selvedge Jeans,Indigo,,Slim,30,30,,,,,Denim,,,,,
Selvedge Jeans,Indigo denim mid rise waist x inseam,6,0.01,bottoms,Selvedge Jeans,Indigo,,Slim,30,32,,,,,Denim,,,,,
Selvedge Jeans,Indigo denim mid rise waist x inseam,6,0.01,bottoms,Selvedge Jeans,Indigo,,Slim,32,32,,,,,Denim,,,,,
Selvedge Jeans,Indigo denim mid rise waist x inseam,4,0.01,bottoms,Selvedge Jeans,Indigo,,Slim,32,34,,,,,Denim,,,,,
Selvedge Jeans,Indigo denim mid rise waist x inseam,4,0.01,bottoms,Selvedge Jeans,Indigo,,Slim,34,32,,,,,Denim,,,,,
Selvedge Jeans,Indigo denim mid rise waist x inseam,3,0.01,bottoms,Selvedge Jeans,Indigo,,Slim,36,32,,,,,Denim,,,,,
Chino Trouser,Khaki cotton chino waist x inseam,6,0.01,bottoms,Chino Trouser,Beige,,Regular,30,30,,,,,Cotton,,,,,
Chino Trouser,Khaki cotton chino waist x inseam,8,0.01,bottoms,Chino Trouser,Beige,,Regular,32,30,,,,,Cotton,,,,,
Chino Trouser,Khaki cotton chino waist x inseam,8,0.01,bottoms,Chino Trouser,Beige,,Regular,32,32,,,,,Cotton,,,,,
Chino Trouser,Khaki cotton chino waist x inseam,6,0.01,bottoms,Chino Trouser,Beige,,Regular,34,32,,,,,Cotton,,,,,
Chino Trouser,Khaki cotton chino waist x inseam,4,0.01,bottoms,Chino Trouser,Beige,,Regular,36,34,,,,,Cotton,,,,,
Linen Short,Natural linen summer short waist x inseam,8,0.01,bottoms,Linen Short,Natural,,Relaxed,28,7,,,,,Linen,,,,,
Linen Short,Natural linen summer short waist x inseam,10,0.01,bottoms,Linen Short,Natural,,Relaxed,30,7,,,,,Linen,,,,,
Linen Short,Natural linen summer short waist x inseam,10,0.01,bottoms,Linen Short,Natural,,Relaxed,32,7,,,,,Linen,,,,,
Linen Short,Natural linen summer short waist x inseam,8,0.01,bottoms,Linen Short,Natural,,Relaxed,34,7,,,,,Linen,,,,,
Midi Dress,Ivory column midi size waist length,4,0.02,dresses,Midi Dress,Ivory,S,Regular,26,,Petite,,,,,,,,,
Midi Dress,Ivory column midi size waist length,5,0.02,dresses,Midi Dress,Ivory,M,Regular,28,,Regular,,,,,,,,,
Midi Dress,Ivory column midi size waist length,4,0.02,dresses,Midi Dress,Ivory,L,Regular,30,,Tall,,,,,,,,,
Slip Dress,Black silk-blend slip size waist length,5,0.02,dresses,Slip Dress,Black,S,Slim,25,,Petite,,,,,,,,,
Slip Dress,Black silk-blend slip size waist length,6,0.02,dresses,Slip Dress,Black,M,Slim,27,,Regular,,,,,,,,,
Slip Dress,Black silk-blend slip size waist length,4,0.02,dresses,Slip Dress,Black,L,Slim,29,,Regular,,,,,,,,,
Soft Cup Bra,Everyday bra band and cup,8,0.01,intimates,Soft Cup Bra,Beige,,,,,,,32,B,,,,,,
Soft Cup Bra,Everyday bra band and cup,8,0.01,intimates,Soft Cup Bra,Beige,,,,,,,34,B,,,,,,
Soft Cup Bra,Everyday bra band and cup,6,0.01,intimates,Soft Cup Bra,Beige,,,,,,,34,C,,,,,,
Soft Cup Bra,Everyday bra band and cup,6,0.01,intimates,Soft Cup Bra,Beige,,,,,,,36,C,,,,,,
Soft Cup Bra,Everyday bra band and cup,6,0.01,intimates,Soft Cup Bra,Black,,,,,,,34,B,,,,,,
Soft Cup Bra,Everyday bra band and cup,5,0.01,intimates,Soft Cup Bra,Black,,,,,,,36,D,,,,,,
